State,University/College ,Campus,"Student
enrollment1","Violent
crime","Murder and
nonnegligent
manslaughter",Rape,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
,,Maritime ,"1,832",0,0,0,0,0,9,4,5,0,0
,,New Paltz,"8,597",2,0,1,0,1,24,0,24,0,0
,,Old Westbury,"5,954",3,0,2,0,1,10,0,10,0,0
,,Oneonta,"7,123",1,0,1,0,0,31,0,30,1,0
,,Oswego,"8,882",1,0,1,0,0,40,5,35,0,0
,,Plattsburgh,"5,906",1,0,0,0,1,20,0,20,0,0
,,Potsdam,"3,442",1,0,1,0,0,10,0,10,0,0
,,Purchase,"4,243",1,0,1,0,0,17,3,12,2,0
,,Upstate Medical,"1,623",17,0,0,2,15,89,3,83,3,0
NORTH CAROLINA,Appalachian State University,,"21,706",6,0,5,0,1,59,1,57,1,0
,Duke University,,"18,120",8,0,0,0,8,347,13,322,12,1
,East Carolina University,,"32,009",13,0,9,1,3,100,5,94,1,0
,Elizabeth City State University,,"2,351",4,0,1,0,3,18,1,17,0,0
,Elon University,,"7,461",1,0,1,0,0,33,3,28,2,1
,Fayetteville State University,,"8,658",3,0,2,0,1,29,8,19,2,1
,Methodist University,,"2,075",1,0,1,0,0,24,5,19,0,0
,North Carolina Agricultural and Technical State University,,"14,121",8,0,4,0,4,87,22,57,8,0
,North Carolina Central University,,"9,000",10,0,3,1,6,54,9,41,4,0
,North Carolina State University,Raleigh,"40,482",6,0,2,1,3,245,49,189,7,0
,University of North Carolina:,Chapel Hill,"32,943",18,0,7,2,9,206,27,155,24,0
,,Charlotte,"34,188",10,0,1,0,9,155,4,147,4,0
,,Greensboro,"21,720",12,0,6,1,5,95,7,87,1,0
,,Pembroke,"10,152",5,0,2,1,2,19,1,18,0,0
,Wake Forest University,,"9,572",2,0,0,0,2,83,8,69,6,0
,Western Carolina University,,"13,820",18,0,17,0,1,58,10,47,1,0
